nquest,cliente,loja,a2,a3,c1a,c1b,c1c,c1d,c1e,c1f,c1g,c1h,c1i,c1j,c1k,c1l,c1m,c1n,c1o,c1p,c1q,c1r,c1s,c1t,c1u,c1v,c1w,c1x,c1_glo,c2a,c2b,c2c,c2d,c2e,c2f,c2_glo
34.0,Outros,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,6.0,3.0,4.0,6.0,7.0,,7.0,6.0,7.0,7.0,7.0
35.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todas as semanas,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,,6.0,7.0,7.0,7.0,5.0,6.0,6.0,6.0,6.0
36.0,Outros,Lisboa,Ambos,Todos os meses,4.0,7.0,7.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0,6.0,6.0,5.0,4.0,3.0,4.0,5.0,,4.0,5.0,6.0,5.0,5.0
37.0,Outros,Lisboa,Ambos,Todos os meses,5.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,,5.0,6.0,6.0,6.0,6.0
38.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,5.0,6.0,6.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,,5.0,,,4.0,3.0,5.0,4.0,6.0,,5.0,5.0,5.0,5.0,5.0
39.0,Outros,Lisboa,Ambos,Todos os meses,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
40.0,Outros,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,2.0,2.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
41.0,Outros,Lisboa,Ambos,Todos os dias,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
42.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,2.0,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
43.0,Outros,Lisboa,Ambos,Todos os meses,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,3.0,5.0,6.0,6.0,4.0,,,,,,,,5.0
44.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,,,,5.0,5.0,5.0,6.0,,6.0,5.0,6.0,7.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
45.0,Outros,Lisboa,Ambos,Todos os meses,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,4.0,4.0,6.0,1.0,5.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
46.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,7.0,7.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,,6.0,3.0,5.0,5.0,,5.0,6.0,2.0,2.0,,4.0,,1.0,3.0,3.0,1.0,
47.0,Outros,Lisboa,Ambos,Todos os meses,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,6.0,,4.0,5.0,3.0,2.0,,6.0,,6.0,6.0,6.0,6.0,6.0
48.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todas as semanas,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,,3.0,,6.0,,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,,5.0,2.0,4.0,5.0,5.0,5.0,
49.0,Outros,Lisboa,Ambos,Raramente,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,7.0,7.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,3.0,,,5.0,,6.0,6.0,6.0,6.0,
50.0,Outros,Lisboa,Ambos,Todos os meses,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,,5.0,6.0,5.0,4.0,3.0,7.0,6.0,6.0,6.0,6.0,5.0,,5.0,6.0,6.0,6.0,5.0
51.0,Outros,Lisboa,Ambos,Todos os meses,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0
52.0,Outros,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,,,,,5.0,,6.0,,,,,,,2.0,,,,,,,1.0,5.0,4.0,,4.0,3.0,3.0,4.0,4.0
53.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,5.0,3.0,,,3.0,3.0,1.0,1.0
54.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,7.0,7.0,6.0,6.0,4.0,3.0,2.0,3.0,5.0,6.0,,5.0,,6.0,6.0,2.0,1.0,1.0,2.0,,1.0,4.0,1.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0
55.0,Outros,Lisboa,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,5.0,,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
56.0,Outros,Lisboa,Só artigos alimentares,Todas as semanas,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
57.0,Outros,Lisboa,Ambos,Todas as semanas,5.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,3.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0,7.0,7.0,6.0,6.0,1.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0
58.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
59.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,7.0,7.0,7.0,5.0,4.0,4.0,6.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0,3.0,3.0,3.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0
60.0,Outros,Lisboa,Ambos,Raramente,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
61.0,Outros,Lisboa,Só artigos alimentares,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
62.0,Outros,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
63.0,Outros,Lisboa,Ambos,Todos os meses,3.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,,6.0,6.0,6.0,6.0,6.0
64.0,Outros,Lisboa,Ambos,Todos os meses,4.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,7.0,,4.0,3.0,1.0,1.0,5.0,7.0,,6.0,5.0,6.0,6.0,5.0
65.0,Retalho não-alimentar,Lisboa,Ambos,Todos os dias,7.0,4.0,6.0,7.0,5.0,6.0,4.0,4.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,4.0,5.0,4.0,7.0,4.0,5.0,4.0,,5.0,,4.0,7.0,7.0,7.0,6.0
66.0,Retalho não-alimentar,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
67.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,5.0,5.0,7.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
68.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,4.0,7.0,6.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,1.0,4.0,3.0,5.0,1.0,5.0,5.0,1.0,4.0,4.0,4.0,3.0,4.0
69.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,4.0,1.0,2.0,3.0
70.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
71.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,4.0,7.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,,4.0,4.0,2.0,1.0,1.0,4.0,6.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,4.0,6.0,3.0,3.0
72.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todas as semanas,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,6.0,4.0,4.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
73.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,,3.0,3.0,5.0,,,,,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
74.0,Outros,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,1.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
75.0,Retalho não-alimentar,Lisboa,Ambos,Todos os dias,7.0,7.0,7.0,,,,,7.0,4.0,4.0,7.0,,4.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,4.0,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
76.0,Retalho não-alimentar,Lisboa,Ambos,Todos os meses,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
77.0,Retalho não-alimentar,Lisboa,Só artigos alimentares,Todas as semanas,6.0,7.0,7.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0
78.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,4.0,7.0,7.0,2.0,4.0,5.0,1.0,3.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0,3.0,6.0,6.0,4.0,5.0,6.0,5.0,1.0,5.0,4.0,4.0,,3.0,3.0,2.0,3.0,3.0
79.0,Retalho não-alimentar,Lisboa,Só artigos não-alimentares,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
80.0,Retalho alimentar,Lisboa,Só artigos alimentares,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,,,6.0,,6.0,,6.0,6.0,4.0,5.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0
81.0,Retalho alimentar,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,2.0,3.0,6.0,6.0,6.0,1.0,3.0,5.0,3.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0
82.0,Retalho alimentar,Lisboa,Ambos,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0
83.0,Retalho alimentar,Lisboa,Ambos,Todos os meses,3.0,6.0,6.0,6.0,5.0,5.0,2.0,6.0,5.0,5.0,6.0,6.0,3.0,6.0,6.0,1.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0
84.0,Retalho alimentar,Lisboa,Ambos,Todas as semanas,3.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,,6.0,,6.0,6.0,6.0,5.0,6.0,7.0,2.0,,4.0,4.0,4.0,4.0
85.0,Retalho alimentar,Lisboa,Ambos,Todos os meses,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,6.0,,6.0,6.0,6.0,3.0,4.0,3.0,5.0,5.0,5.0,,6.0,6.0,6.0,6.0,6.0
86.0,Retalho alimentar,Lisboa,Ambos,Todas as semanas,5.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,,4.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
87.0,Retalho alimentar,Lisboa,Só artigos alimentares,Todas as semanas,7.0,7.0,7.0,5.0,5.0,3.0,6.0,5.0,4.0,6.0,6.0,6.0,,6.0,,2.0,2.0,2.0,4.0,,5.0,4.0,3.0,4.0,5.0,6.0,1.0,1.0,6.0,6.0,5.0,6.0
88.0,Retalho alimentar,Lisboa,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
